id,state_id/id,name
base.county_us_414,base.state_us_16,Carroll
base.county_us_415,base.state_us_18,Carroll
base.county_us_416,base.state_us_24,Carroll
base.county_us_417,base.state_us_30,Carroll
base.county_us_418,base.state_us_33,Carroll
base.county_us_419,base.state_us_37,Carroll
base.county_us_420,base.state_us_38,Carroll
base.county_us_421,base.state_us_4,Carroll
base.county_us_422,base.state_us_43,Carroll
base.county_us_423,base.state_us_47,Carroll
base.county_us_424,base.state_us_44,Carson
base.county_us_425,base.state_us_23,Carson City
base.county_us_426,base.state_us_18,Carter
base.county_us_427,base.state_us_21,Carter
base.county_us_428,base.state_us_31,Carter
base.county_us_429,base.state_us_38,Carter
base.county_us_430,base.state_us_43,Carter
base.county_us_431,base.state_us_28,Carteret
base.county_us_432,base.state_us_36,Carver
base.county_us_433,base.state_us_21,Cascade
base.county_us_434,base.state_us_18,Casey
base.county_us_435,base.state_us_14,Cass
base.county_us_436,base.state_us_15,Cass
base.county_us_437,base.state_us_16,Cass
base.county_us_438,base.state_us_22,Cass
base.county_us_439,base.state_us_29,Cass
base.county_us_440,base.state_us_35,Cass
base.county_us_441,base.state_us_36,Cass
base.county_us_442,base.state_us_38,Cass
base.county_us_443,base.state_us_44,Cass
base.county_us_444,base.state_us_13,Cassia
base.county_us_445,base.state_us_44,Castro
base.county_us_446,base.state_us_28,Caswell
base.county_us_447,base.state_us_19,Catahoula Parish
base.county_us_448,base.state_us_39,Cataño Municipio
base.county_us_449,base.state_us_28,Catawba
base.county_us_450,base.state_us_11,Catoosa
base.county_us_451,base.state_us_26,Catron
base.county_us_452,base.state_us_27,Cattaraugus
base.county_us_453,base.state_us_29,Cavalier
base.county_us_454,base.state_us_39,Cayey Municipio
base.county_us_455,base.state_us_27,Cayuga
base.county_us_456,base.state_us_33,Cecil
base.county_us_457,base.state_us_16,Cedar
base.county_us_458,base.state_us_22,Cedar
base.county_us_459,base.state_us_38,Cedar
base.county_us_460,base.state_us_39,Ceiba Municipio
base.county_us_461,base.state_us_39,Centre
base.county_us_462,base.state_us_16,Cerro Gordo
base.county_us_463,base.state_us_6,Chaffee
base.county_us_464,base.state_us_1,Chambers
base.county_us_465,base.state_us_44,Chambers
base.county_us_466,base.state_us_14,Champaign
base.county_us_467,base.state_us_30,Champaign
base.county_us_468,base.state_us_38,Chariton
base.county_us_469,base.state_us_33,Charles
base.county_us_470,base.state_us_47,Charles City
base.county_us_471,base.state_us_42,Charles Mix
base.county_us_472,base.state_us_41,Charleston
base.county_us_473,base.state_us_35,Charlevoix
base.county_us_474,base.state_us_10,Charlotte
base.county_us_475,base.state_us_47,Charlotte
base.county_us_476,base.state_us_47,Charlottesville City
base.county_us_477,base.state_us_11,Charlton
base.county_us_478,base.state_us_17,Chase
base.county_us_479,base.state_us_22,Chase
base.county_us_480,base.state_us_11,Chatham
base.county_us_481,base.state_us_28,Chatham
base.county_us_482,base.state_us_11,Chattahoochee
base.county_us_483,base.state_us_11,Chattooga
base.county_us_484,base.state_us_17,Chautauqua
base.county_us_485,base.state_us_27,Chautauqua
base.county_us_486,base.state_us_26,Chaves
base.county_us_487,base.state_us_43,Cheatham
base.county_us_488,base.state_us_35,Cheboygan
base.county_us_489,base.state_us_48,Chelan
base.county_us_490,base.state_us_27,Chemung
base.county_us_491,base.state_us_27,Chenango
base.county_us_492,base.state_us_1,Cherokee
base.county_us_493,base.state_us_11,Cherokee
base.county_us_494,base.state_us_16,Cherokee
base.county_us_495,base.state_us_17,Cherokee
base.county_us_496,base.state_us_28,Cherokee
base.county_us_497,base.state_us_31,Cherokee
base.county_us_498,base.state_us_41,Cherokee
base.county_us_499,base.state_us_44,Cherokee
base.county_us_500,base.state_us_22,Cherry
base.county_us_501,base.state_us_47,Chesapeake City
base.county_us_502,base.state_us_24,Cheshire
base.county_us_503,base.state_us_39,Chester
base.county_us_504,base.state_us_41,Chester
base.county_us_505,base.state_us_43,Chester
base.county_us_506,base.state_us_41,Chesterfield
base.county_us_507,base.state_us_47,Chesterfield
base.county_us_508,base.state_us_17,Cheyenne
base.county_us_509,base.state_us_22,Cheyenne
base.county_us_510,base.state_us_6,Cheyenne
base.county_us_511,base.state_us_16,Chickasaw
base.county_us_512,base.state_us_37,Chickasaw
base.county_us_513,base.state_us_4,Chicot
base.county_us_514,base.state_us_44,Childress
base.county_us_515,base.state_us_1,Chilton
base.county_us_516,base.state_us_35,Chippewa
base.county_us_517,base.state_us_36,Chippewa
base.county_us_518,base.state_us_50,Chippewa
base.county_us_519,base.state_us_36,Chisago
base.county_us_520,base.state_us_46,Chittenden
base.county_us_521,base.state_us_1,Choctaw
base.county_us_522,base.state_us_31,Choctaw
base.county_us_523,base.state_us_37,Choctaw
base.county_us_524,base.state_us_21,Chouteau
base.county_us_525,base.state_us_28,Chowan
base.county_us_526,base.state_us_14,Christian
base.county_us_527,base.state_us_18,Christian
base.county_us_528,base.state_us_38,Christian
base.county_us_529,base.state_us_23,Churchill
base.county_us_530,base.state_us_39,Ciales Municipio
base.county_us_531,base.state_us_26,Cibola
base.county_us_532,base.state_us_39,Cidra Municipio
base.county_us_533,base.state_us_31,Cimarron
base.county_us_534,base.state_us_10,Citrus
base.county_us_535,base.state_us_32,Clackamas
base.county_us_536,base.state_us_37,Claiborne
base.county_us_537,base.state_us_43,Claiborne
base.county_us_538,base.state_us_19,Claiborne Parish
base.county_us_539,base.state_us_48,Clallam
base.county_us_540,base.state_us_35,Clare
base.county_us_541,base.state_us_41,Clarendon
base.county_us_542,base.state_us_39,Clarion
base.county_us_543,base.state_us_13,Clark
base.county_us_544,base.state_us_14,Clark
base.county_us_545,base.state_us_15,Clark
base.county_us_546,base.state_us_17,Clark
base.county_us_547,base.state_us_18,Clark
base.county_us_548,base.state_us_23,Clark
base.county_us_549,base.state_us_30,Clark
base.county_us_550,base.state_us_38,Clark
base.county_us_551,base.state_us_4,Clark
base.county_us_552,base.state_us_42,Clark
base.county_us_553,base.state_us_48,Clark
base.county_us_554,base.state_us_50,Clark
base.county_us_555,base.state_us_1,Clarke
base.county_us_556,base.state_us_11,Clarke
base.county_us_557,base.state_us_16,Clarke
base.county_us_558,base.state_us_37,Clarke
base.county_us_559,base.state_us_47,Clarke
base.county_us_560,base.state_us_32,Clatsop
base.county_us_561,base.state_us_1,Clay
base.county_us_562,base.state_us_10,Clay
base.county_us_563,base.state_us_11,Clay
base.county_us_564,base.state_us_14,Clay
base.county_us_565,base.state_us_15,Clay
base.county_us_566,base.state_us_16,Clay
base.county_us_567,base.state_us_17,Clay
base.county_us_568,base.state_us_18,Clay
base.county_us_569,base.state_us_22,Clay
base.county_us_570,base.state_us_28,Clay
base.county_us_571,base.state_us_36,Clay
base.county_us_572,base.state_us_37,Clay
base.county_us_573,base.state_us_38,Clay
base.county_us_574,base.state_us_4,Clay
base.county_us_575,base.state_us_42,Clay
base.county_us_576,base.state_us_43,Clay
base.county_us_577,base.state_us_44,Clay
base.county_us_578,base.state_us_49,Clay
base.county_us_579,base.state_us_11,Clayton
base.county_us_580,base.state_us_16,Clayton
base.county_us_581,base.state_us_6,Clear Creek
base.county_us_582,base.state_us_39,Clearfield
base.county_us_583,base.state_us_13,Clearwater
base.county_us_584,base.state_us_36,Clearwater
base.county_us_585,base.state_us_1,Cleburne
base.county_us_586,base.state_us_4,Cleburne
base.county_us_587,base.state_us_30,Clermont
base.county_us_588,base.state_us_28,Cleveland
base.county_us_589,base.state_us_31,Cleveland
base.county_us_590,base.state_us_4,Cleveland
base.county_us_591,base.state_us_11,Clinch
base.county_us_592,base.state_us_14,Clinton
base.county_us_593,base.state_us_15,Clinton
base.county_us_594,base.state_us_16,Clinton
base.county_us_595,base.state_us_18,Clinton
base.county_us_596,base.state_us_27,Clinton
base.county_us_597,base.state_us_30,Clinton
base.county_us_598,base.state_us_35,Clinton
base.county_us_599,base.state_us_38,Clinton
base.county_us_600,base.state_us_39,Clinton
base.county_us_601,base.state_us_17,Cloud
base.county_us_602,base.state_us_37,Coahoma
base.county_us_603,base.state_us_31,Coal
base.county_us_604,base.state_us_39,Coamo Municipio
base.county_us_605,base.state_us_11,Cobb
base.county_us_606,base.state_us_3,Cochise
base.county_us_607,base.state_us_44,Cochran
base.county_us_608,base.state_us_43,Cocke
base.county_us_609,base.state_us_3,Coconino
base.county_us_610,base.state_us_42,Codington
base.county_us_611,base.state_us_1,Coffee
base.county_us_612,base.state_us_11,Coffee
base.county_us_613,base.state_us_43,Coffee
base.county_us_614,base.state_us_17,Coffey
base.county_us_615,base.state_us_44,Coke
base.county_us_616,base.state_us_1,Colbert
base.county_us_617,base.state_us_38,Cole
base.county_us_618,base.state_us_44,Coleman
base.county_us_619,base.state_us_14,Coles
base.county_us_620,base.state_us_22,Colfax
base.county_us_621,base.state_us_26,Colfax
base.county_us_622,base.state_us_41,Colleton
base.county_us_623,base.state_us_10,Collier
base.county_us_624,base.state_us_44,Collin
base.county_us_625,base.state_us_44,Collingsworth
base.county_us_626,base.state_us_47,Colonial Heights City
base.county_us_627,base.state_us_44,Colorado
base.county_us_628,base.state_us_11,Colquitt
base.county_us_629,base.state_us_10,Columbia
base.county_us_630,base.state_us_11,Columbia
base.county_us_631,base.state_us_27,Columbia
base.county_us_632,base.state_us_32,Columbia
base.county_us_633,base.state_us_39,Columbia
base.county_us_634,base.state_us_4,Columbia
base.county_us_635,base.state_us_48,Columbia
base.county_us_636,base.state_us_50,Columbia
base.county_us_637,base.state_us_30,Columbiana
base.county_us_638,base.state_us_28,Columbus
base.county_us_639,base.state_us_5,Colusa
base.county_us_640,base.state_us_44,Comal
base.county_us_641,base.state_us_17,Comanche
base.county_us_642,base.state_us_31,Comanche
base.county_us_643,base.state_us_44,Comanche
base.county_us_644,base.state_us_39,Comerío Municipio
base.county_us_645,base.state_us_44,Concho
base.county_us_646,base.state_us_19,Concordia Parish
base.county_us_647,base.state_us_1,Conecuh
base.county_us_648,base.state_us_6,Conejos
base.county_us_649,base.state_us_5,Contra Costa
base.county_us_650,base.state_us_51,Converse
base.county_us_651,base.state_us_4,Conway
base.county_us_652,base.state_us_11,Cook
base.county_us_653,base.state_us_14,Cook
base.county_us_654,base.state_us_36,Cook
